model,seed,postprocess,horizon,target_scope,origin,mse,mae
RELAX_SHORT_O,20260914,raw,3,path_1_to_H,1548,0.040568376171041774,0.13947711764704296
RELAX_SHORT_O,20260914,raw,6,terminal_H,1392,0.0120266682972798,0.04896313443250785
RELAX_SHORT_O,20260914,raw,6,terminal_H,1404,0.0049498146004939535,0.04566005105250621
RELAX_SHORT_O,20260914,raw,6,terminal_H,1416,0.00525534223980855,0.036777667834076884
RELAX_SHORT_O,20260914,raw,6,terminal_H,1428,0.006578695286358539,0.04695932861697987
RELAX_SHORT_O,20260914,raw,6,terminal_H,1440,0.005981320327176269,0.041456414696718145
RELAX_SHORT_O,20260914,raw,6,terminal_H,1452,0.005301483182281056,0.04977578410767654
RELAX_SHORT_O,20260914,raw,6,terminal_H,1464,0.042725946544448244,0.15024823005095558
RELAX_SHORT_O,20260914,raw,6,terminal_H,1476,0.007642386929607637,0.05555997051875403
RELAX_SHORT_O,20260914,raw,6,terminal_H,1488,0.0084732106440736,0.032975954088840145
RELAX_SHORT_O,20260914,raw,6,terminal_H,1500,0.006990972677039473,0.049913285161918876
RELAX_SHORT_O,20260914,raw,6,terminal_H,1512,0.07307582445254546,0.2047533683911421
RELAX_SHORT_O,20260914,raw,6,terminal_H,1524,0.019442705948335977,0.09042881099152675
RELAX_SHORT_O,20260914,raw,6,terminal_H,1536,0.011675317650413984,0.06702683354215962
RELAX_SHORT_O,20260914,raw,6,terminal_H,1548,0.024317806982374332,0.11559014712862502
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1392,0.013359350499064403,0.047391719936687435
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1404,0.00430258429458817,0.03715934433285204
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1416,0.00439372903365506,0.031190139807934458
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1428,0.005551367994162714,0.03758391204493047
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1440,0.00500497810542906,0.03245495633201658
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1452,0.004545670367478635,0.03893555591351205
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1464,0.047687161422423546,0.15768529209794602
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1476,0.005555170440194618,0.04184510971089229
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1488,0.009845371274145528,0.03427937244474158
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1500,0.007605548903740367,0.04157497150328709
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1512,0.05885670592412165,0.16885675411609333
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1524,0.027868602032509456,0.09853544822085303
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1536,0.015238744410211199,0.08187529924196937
RELAX_SHORT_O,20260914,raw,6,path_1_to_H,1548,0.03125816087199495,0.12571550809038332
RELAX_SHORT_O,20260914,raw,9,terminal_H,1392,0.012286756392424415,0.05418036821277135
RELAX_SHORT_O,20260914,raw,9,terminal_H,1404,0.006641777915529346,0.05456170770038046
RELAX_SHORT_O,20260914,raw,9,terminal_H,1416,0.005328239558457885,0.04101748345848385
RELAX_SHORT_O,20260914,raw,9,terminal_H,1428,0.007499521219907634,0.053808612825867554
RELAX_SHORT_O,20260914,raw,9,terminal_H,1440,0.005581171435176511,0.05084464467199392
RELAX_SHORT_O,20260914,raw,9,terminal_H,1452,0.01519075770711823,0.08199198551465418
RELAX_SHORT_O,20260914,raw,9,terminal_H,1464,0.04835801458078125,0.17389488448296272
RELAX_SHORT_O,20260914,raw,9,terminal_H,1476,0.011090041050253994,0.06997575944554145
RELAX_SHORT_O,20260914,raw,9,terminal_H,1488,0.012319614324212047,0.05987419770125681
RELAX_SHORT_O,20260914,raw,9,terminal_H,1500,0.015621651477173556,0.07517860185672444
RELAX_SHORT_O,20260914,raw,9,terminal_H,1512,0.03617440730785092,0.1357942764344096
RELAX_SHORT_O,20260914,raw,9,terminal_H,1524,0.022925971074781445,0.11217391210211314
RELAX_SHORT_O,20260914,raw,9,terminal_H,1536,0.014279264438268475,0.08123750826650807
RELAX_SHORT_O,20260914,raw,9,terminal_H,1548,0.01833207082769401,0.09621457556760023
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1392,0.01317609982860677,0.050031575770344075
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1404,0.0049057170626337614,0.041890916288448904
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1416,0.0055612107655999094,0.035491225407520574
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1428,0.006470522238040318,0.04285476529274405
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1440,0.005574400042998797,0.03780184908160461
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1452,0.006214877909857825,0.04776265071995434
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1464,0.04690931237818583,0.15906763682750655
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1476,0.006740797652300301,0.049463707766624405
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1488,0.010009213951146189,0.038249898991364745
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1500,0.009257016887847743,0.05029547474837998
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1512,0.0563290466777854,0.16667294059313362
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1524,0.02540101239757178,0.09892105906886622
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1536,0.01544178410286288,0.0831173752363883
RELAX_SHORT_O,20260914,raw,9,path_1_to_H,1548,0.02630148255974873,0.1156664811246123
RELAX_SHORT_O,20260914,raw,12,terminal_H,1392,0.012478989277996974,0.06269312201300636
RELAX_SHORT_O,20260914,raw,12,terminal_H,1404,0.007658340363685359,0.061918453226839615
RELAX_SHORT_O,20260914,raw,12,terminal_H,1416,0.006900556951794678,0.05244610542555826
RELAX_SHORT_O,20260914,raw,12,terminal_H,1428,0.0073600460097920165,0.05827349890637296
RELAX_SHORT_O,20260914,raw,12,terminal_H,1440,0.013318797529922205,0.07321935295630035
RELAX_SHORT_O,20260914,raw,12,terminal_H,1452,0.014860508633252481,0.08493666883917864
RELAX_SHORT_O,20260914,raw,12,terminal_H,1464,0.051201318237343606,0.18328128216068515
RELAX_SHORT_O,20260914,raw,12,terminal_H,1476,0.02223961236954317,0.0933390067410867
RELAX_SHORT_O,20260914,raw,12,terminal_H,1488,0.025220276783095123,0.089089621693896
RELAX_SHORT_O,20260914,raw,12,terminal_H,1500,0.01967534254836539,0.08498744087515991
RELAX_SHORT_O,20260914,raw,12,terminal_H,1512,0.04450154409516081,0.15260137271898036
RELAX_SHORT_O,20260914,raw,12,terminal_H,1524,0.04083093077404081,0.1485642613014418
RELAX_SHORT_O,20260914,raw,12,terminal_H,1536,0.01500934801745704,0.08751704376410502
RELAX_SHORT_O,20260914,raw,12,terminal_H,1548,0.02322826671918214,0.11296238472875715
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1392,0.012717314869405118,0.0522147713404171
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1404,0.0062897826182104705,0.047564318785700214
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1416,0.005490264165227355,0.038211171185422714
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1428,0.006808276195650832,0.046552816993858645
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1440,0.007146218205686043,0.045584524636339635
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1452,0.008263257322654401,0.05651330699562095
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1464,0.04836460984444674,0.1652948797491676
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1476,0.009606412263028375,0.058360978617303334
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1488,0.012892304270548438,0.0492310900603956
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1500,0.011605924161738458,0.05840252045456013
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1512,0.052811314080245995,0.1625141223291625
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1524,0.028046379717479916,0.10873119760080678
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1536,0.01865073621972309,0.09157904340047109
RELAX_SHORT_O,20260914,raw,12,path_1_to_H,1548,0.02549812042032148,0.11431100792644429
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1392,0.011933526733118718,0.043995585086654916
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1404,0.006134294478743798,0.039624523769466166
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1416,0.0035342778531266754,0.029301577209619362
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1428,0.006727799919654033,0.04047205466224114
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1440,0.003853066218020414,0.02896287315480136
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1452,0.0039016038133853135,0.03740219225199491
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1464,0.05447603168494722,0.1672480584788189
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1476,0.004022642754003055,0.03981982292390471
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1488,0.011652960758581332,0.0380185678649154
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1500,0.008421545501999384,0.04320679895055946
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1512,0.06271730078480581,0.18553811675321247
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1524,0.009870081980245015,0.07232480329858267
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1536,0.01592086835895595,0.08669640326397546
RELAX_SHORT_OD,20260913,raw,3,terminal_H,1548,0.02090278543884159,0.10634317466179544
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1392,0.01292987604047982,0.04277744610412232
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1404,0.004107521209408148,0.03173848291509785
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1416,0.004171212742969882,0.02734759732797763
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1428,0.005005735044958229,0.03143885775065318
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1440,0.004717542375693735,0.026898313833628368
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1452,0.004394689056007154,0.032322215418314565
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1464,0.05413927515806425,0.16587022822233627
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1476,0.0037336974035496774,0.032761638546666784
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1488,0.010143476954872317,0.03472318572116351
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1500,0.008039942858259609,0.03639498193406105
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1512,0.046820982454491386,0.13726350047794492
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1524,0.010097931913600703,0.0650383908353185
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1536,0.014766133185006317,0.08142792918038498
RELAX_SHORT_OD,20260913,raw,3,path_1_to_H,1548,0.04040223229166427,0.1378123807641466
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1392,0.011942703077606587,0.04756666351136201
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1404,0.004730825001534273,0.04562549973753366
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1416,0.004889095597085048,0.03472292218944693
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1428,0.006782648970720745,0.04813712939122607
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1440,0.005548124134472066,0.03796646431546172
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1452,0.005382637770872925,0.04938020223831038
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1464,0.05540952531807399,0.16865692521739137
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1476,0.008055775556662152,0.0587434391586364
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1488,0.00833222431333188,0.035321692010303114
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1500,0.0066111986141598675,0.050579813900827005
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1512,0.07303102643760212,0.20506469936655114
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1524,0.02153918905988858,0.09379962487537837
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1536,0.011494413298250891,0.06884986481864788
RELAX_SHORT_OD,20260913,raw,6,terminal_H,1548,0.023745682220746037,0.11271860650248444
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1392,0.013335683165223496,0.04678180117399858
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1404,0.004167711964990542,0.03710532105401702
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1416,0.004214434458651786,0.029830815427600157
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1428,0.0056919637522313314,0.038380790952867366
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1440,0.004839499892328956,0.030303353108876323
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1452,0.0045876923256845505,0.039050604553293934
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1464,0.05523475959742343,0.16843554298319455
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1476,0.005950844237293569,0.04415226363421949
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1488,0.009739926849319076,0.035746136465678514
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1500,0.007278428783943065,0.0415259654369297
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1512,0.05884592345352873,0.16903942691376758
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1524,0.028173067322373246,0.09911670427096948
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1536,0.015467519250839945,0.08296400331674235
RELAX_SHORT_OD,20260913,raw,6,path_1_to_H,1548,0.031079600981435754,0.1235854582531487
RELAX_SHORT_OD,20260913,raw,9,terminal_H,1392,0.012340200657239429,0.054080692208372055
