system,information,future_hour,mse,rmse,mae_same_mean,mae_median_separate,gamma_to_I4
M_r1,I4,10,0.18749999999974468,0.4330127018919245,0.37499999999948946,0.24999999999999895,0.0
M_r1,I4,11,0.18749999999997707,0.4330127018921929,0.37499999999995415,0.2499999999999996,0.0
M_r1,I4,12,0.18749999999999453,0.433012701892213,0.3749999999999891,0.2499999999999993,0.0
M_r1_4,I0,1,0.09471634553876933,0.30776020785470193,0.18943269107753946,0.111205115959534,0.0037708622868083555
M_r1_4,I0,2,0.14440521098494483,0.3800068564972806,0.28881042196988993,0.19521932317044943,0.007797137008060816
M_r1_4,I0,3,0.16888860023645028,0.41096058233904903,0.33777720047290033,0.24999999999999964,0.008892062670659784
M_r1_4,I0,4,0.18015432446929752,0.424445902877266,0.36030864893859504,0.24999999999999917,0.007851605349104077
M_r1_4,I0,5,0.18493467089515025,0.4300403131046556,0.3698693417903003,0.24999999999999944,0.005965820568026962
M_r1_4,I0,6,0.18675881115942972,0.4321560032666788,0.3735176223188591,0.2499999999999995,0.004085159567506707
M_r1_4,I0,7,0.1873512419707901,0.4328408968325314,0.37470248394158,0.2499999999999991,0.0025813668297975084
M_r1_4,I0,8,0.18749068920563663,0.43300195057948254,0.37498137841127355,0.24999999999999922,0.0015247415769633742
M_r1_4,I0,9,0.18749558000721375,0.4330075980940909,0.37499116001442745,0.24999999999999895,0.0008476114332354981
M_r1_4,I0,10,0.18747840690101442,0.43298776761129687,0.37495681380202917,0.24999999999999933,0.00044462616586894515
M_r1_4,I0,11,0.187469050258028,0.4329769627336171,0.37493810051605625,0.24999999999999942,0.0002198985084507837
M_r1_4,I0,12,0.1874694517411325,0.432977426364392,0.374938903482265,0.24999999999999906,0.00010207181670417844
M_r1_4,I1,1,0.09265652806242992,0.3043953482930216,0.18531305612486026,0.111205115959534,0.0017110448104688738
M_r1_4,I1,2,0.14014605807692107,0.37436086611306085,0.2802921161538419,0.19521932317044943,0.003537984100037038
M_r1_4,I1,3,0.1640313488449567,0.40500783800434864,0.32806269768991286,0.24999999999999964,0.004034811279166103
M_r1_4,I1,4,0.1758654184617821,0.41936311051615177,0.3517308369235641,0.24999999999999917,0.003562699341588802
M_r1_4,I1,5,0.18167586679887857,0.426234520890646,0.3633517335977572,0.24999999999999944,0.0027070164717552816
M_r1_4,I1,6,0.18452731013107787,0.4295664210934997,0.36905462026215585,0.2499999999999995,0.0018536585391549384
M_r1_4,I1,7,0.18594118132565296,0.431208976397353,0.37188236265130586,0.2499999999999991,0.0011713061846604623
M_r1_4,I1,8,0.18665780560813208,0.4320391250895364,0.37331561121626466,0.24999999999999922,0.0006918579794589837
M_r1_4,I1,9,0.1870325758690273,0.43247263019644067,0.37406515173805455,0.24999999999999895,0.00038460729504900923
M_r1_4,I1,10,0.18723553175012436,0.43270721250069816,0.3744710635002483,0.24999999999999933,0.00020175101497876488
M_r1_4,I1,11,0.187348931633619,0.4328382280178346,0.37469786326723764,0.24999999999999942,9.977988404159494e-05
M_r1_4,I1,12,0.1874136954456495,0.4329130345065271,0.37482739089129896,0.24999999999999906,4.6315521221178536e-05
M_r1_4,I2,1,0.09441018367024015,0.3072624019795461,0.18882036734048024,0.111205115959534,0.003464700418279073
M_r1_4,I2,2,0.14377214993577375,0.37917298154770174,0.28754429987154745,0.19521932317044943,0.007164075958889691
M_r1_4,I2,3,0.1681666405584603,0.41008126092088176,0.33633328111692046,0.24999999999999964,0.00817010299266981
M_r1_4,I2,4,0.1795168410552131,0.4236942778174059,0.3590336821104261,0.24999999999999917,0.007214121935019807
M_r1_4,I2,5,0.18445029712769462,0.42947677134822393,0.36890059425538924,0.24999999999999944,0.005481446800571375
M_r1_4,I2,6,0.18642713103130515,0.43177208227409186,0.3728542620626102,0.2499999999999995,0.0037534794393822906
M_r1_4,I2,7,0.18714165699211396,0.43259872513926106,0.3742833139842284,0.2499999999999991,0.002371781851121654
M_r1_4,I2,8,0.18736689318904365,0.43285897609850216,0.3747337863780873,0.24999999999999922,0.0014009455603704415
M_r1_4,I2,9,0.1874267611852975,0.4329281247335376,0.3748535223705951,0.24999999999999895,0.0007787926113193562
M_r1_4,I2,10,0.18744230704708564,0.4329460786831146,0.3748846140941716,0.24999999999999933,0.00040852631194013365
M_r1_4,I2,11,0.18745119637392585,0.4329563446514277,0.37490239274785175,0.24999999999999942,0.00020204462434856744
M_r1_4,I2,12,0.18746116437984783,0.43296785605844673,0.37492232875969556,0.24999999999999906,9.378445541929323e-05
M_r1_4,I3,1,0.09146824654433577,0.3024371778474594,0.18293649308867152,0.111205115959534,0.0005227632923746914
M_r1_4,I3,2,0.1376890089735529,0.37106469647967444,0.2753780179471062,0.19521932317044943,0.0010809349966689928
M_r1_4,I3,3,0.16122926461975312,0.4015336407074171,0.3224585292395062,0.24999999999999964,0.0012327270539626695
M_r1_4,I3,4,0.17339120518797752,0.4164026959422543,0.34678241037595525,0.24999999999999917,0.001088486067784361
M_r1_4,I3,5,0.1797959057231181,0.42402347308034505,0.35959181144623636,0.24999999999999944,0.0008270553959948753
M_r1_4,I3,6,0.18323998663758514,0.42806539995377474,0.36647997327517035,0.2499999999999995,0.000566335045662278
M_r1_4,I3,7,0.18512773594845078,0.43026472775310176,0.3702554718969016,0.2499999999999991,0.00035786080745842574
M_r1_4,I3,8,0.18617732605253717,0.43148270655095455,0.37235465210507424,0.24999999999999922,0.00021137842386405363
M_r1_4,I3,9,0.18676547489210682,0.43216371306728985,0.3735309497842134,0.24999999999999895,0.00011750631812854064
M_r1_4,I3,10,0.18709542028086934,0.4325452811913099,0.3741908405617389,0.24999999999999933,6.163954572372279e-05
M_r1_4,I3,11,0.18727963678443746,0.43275817356167573,0.37455927356887486,0.24999999999999942,3.0485034860107047e-05
M_r1_4,I3,12,0.18738153037461736,0.4328758833368029,0.3747630607492347,0.24999999999999906,1.4150450188968662e-05
M_r1_4,I4,1,0.09094548325196115,0.301571688412492,0.1818909665039223,0.111205115959534,0.0
M_r1_4,I4,2,0.13660807397688401,0.36960529484422167,0.27321614795376803,0.19521932317044943,0.0
M_r1_4,I4,3,0.15999653756579035,0.39999567193382274,0.3199930751315807,0.24999999999999964,0.0
M_r1_4,I4,4,0.1723027191201933,0.4150936269327599,0.3446054382403866,0.24999999999999917,0.0
M_r1_4,I4,5,0.17896885032712334,0.4230471017831505,0.3579377006542467,0.24999999999999944,0.0
M_r1_4,I4,6,0.1826736515919229,0.42740338275676165,0.3653473031838458,0.2499999999999995,0.0
M_r1_4,I4,7,0.18476987514099247,0.4298486653939878,0.36953975028198494,0.2499999999999991,0.0
M_r1_4,I4,8,0.18596594762867324,0.43123769272719337,0.3719318952573465,0.24999999999999922,0.0
M_r1_4,I4,9,0.18664796857397833,0.4320277405144007,0.37329593714795667,0.24999999999999895,0.0
M_r1_4,I4,10,0.18703378073514557,0.4324740231911572,0.3740675614702912,0.24999999999999933,0.0
M_r1_4,I4,11,0.18724915174957735,0.4327229503384092,0.3744983034991547,0.24999999999999942,0.0
M_r1_4,I4,12,0.18736737992442837,0.4328595383313487,0.3747347598488567,0.24999999999999906,0.0
L_r1,I0,1,0.213206910274728,0.46174333809458257,0.4264138205494558,0.3333333333333332,4.70361553300293e-31
L_r1,I0,2,0.22185648089942434,0.4710164337891241,0.4437129617988484,0.33333333333333437,8.636345326314163e-31
L_r1,I0,3,0.2222073844976952,0.4713887827448752,0.4444147689953902,0.333333333333334,4.94982724519827e-31
L_r1,I0,4,0.22222162027200407,0.4714038823259775,0.4444432405440077,0.33333333333333504,1.05434957983284e-30
L_r1,I0,5,0.222222197801762,0.4714044948892214,0.4444443956035236,0.3333333333333345,1.5548899919432932e-30
L_r1,I0,6,0.22222222123151109,0.47140451974022385,0.44444444246302184,0.33333333333333515,8.0663287956821e-31
L_r1,I0,7,0.22222222218203092,0.4714045207484024,0.44444444436406155,0.3333333333333357,9.043347648823831e-31
L_r1,I0,8,0.22222222222059243,0.471404520789303,0.44444444444118464,0.33333333333333653,9.737470975624647e-31
L_r1,I0,9,0.22222222222215687,0.47140452079096234,0.4444444444443133,0.33333333333333687,2.494727278391189e-30
L_r1,I0,10,0.22222222222222066,0.47140452079103,0.4444444444444411,0.33333333333333653,4.567253075007976e-31
L_r1,I0,11,0.22222222222222335,0.4714045207910329,0.4444444444444465,0.33333333333333726,3.0372908435230194e-31
