stage,model,horizon,target_scope,postprocess,scored_values,rmse,mae
DEV_EVAL,O_LONG_D0,12,terminal_H,raw,3850,0.1190220203759103,0.07870208811835307
DEV_EVAL,O_LONG_D0,12,path_1_to_H,raw,46200,0.11724044815721418,0.07126730560485114
DEV_EVAL,O_LONG_D0,3,terminal_H,clip_0_1,3850,0.11034741315435602,0.06395398413031089
DEV_EVAL,O_LONG_D0,3,path_1_to_H,clip_0_1,11550,0.11036340034999816,0.05969046169247061
DEV_EVAL,O_LONG_D0,6,terminal_H,clip_0_1,3850,0.11750547557606272,0.07283757918309491
DEV_EVAL,O_LONG_D0,6,path_1_to_H,clip_0_1,23100,0.11784594126845813,0.0672307945785332
DEV_EVAL,O_LONG_D0,9,terminal_H,clip_0_1,3850,0.11408019709451933,0.074612391394989
DEV_EVAL,O_LONG_D0,9,path_1_to_H,clip_0_1,34650,0.11657319912400808,0.06891336584606994
DEV_EVAL,O_LONG_D0,12,terminal_H,clip_0_1,3850,0.11902039216816145,0.07869202954670385
DEV_EVAL,O_LONG_D0,12,path_1_to_H,clip_0_1,46200,0.11723512697002013,0.07125488808319337
DEV_EVAL,O_LONG_DUP,3,terminal_H,raw,3850,0.11030496027572362,0.064046284367866
DEV_EVAL,O_LONG_DUP,3,path_1_to_H,raw,11550,0.11007343276112505,0.05979420498332741
DEV_EVAL,O_LONG_DUP,6,terminal_H,raw,3850,0.11782906883109302,0.07290548788081441
DEV_EVAL,O_LONG_DUP,6,path_1_to_H,raw,23100,0.11780159955498745,0.0673078518745558
DEV_EVAL,O_LONG_DUP,9,terminal_H,raw,3850,0.11457885962133901,0.07451933301138425
DEV_EVAL,O_LONG_DUP,9,path_1_to_H,raw,34650,0.1166986008835395,0.06896876493879692
DEV_EVAL,O_LONG_DUP,12,terminal_H,raw,3850,0.11952591578384145,0.07883240767442613
DEV_EVAL,O_LONG_DUP,12,path_1_to_H,raw,46200,0.1174544415571024,0.07133549852972124
DEV_EVAL,O_LONG_DUP,3,terminal_H,clip_0_1,3850,0.11029927040588221,0.06402853162070422
DEV_EVAL,O_LONG_DUP,3,path_1_to_H,clip_0_1,11550,0.11005961225227448,0.05976769538856914
DEV_EVAL,O_LONG_DUP,6,terminal_H,clip_0_1,3850,0.11782656055868655,0.07289644082043126
DEV_EVAL,O_LONG_DUP,6,path_1_to_H,clip_0_1,23100,0.11779159987502713,0.06728918324142327
DEV_EVAL,O_LONG_DUP,9,terminal_H,clip_0_1,3850,0.11457867684513429,0.07451466913509018
DEV_EVAL,O_LONG_DUP,9,path_1_to_H,clip_0_1,34650,0.11669179918886997,0.06895502524726842
DEV_EVAL,O_LONG_DUP,12,terminal_H,clip_0_1,3850,0.11952154580749026,0.07881874373484087
DEV_EVAL,O_LONG_DUP,12,path_1_to_H,clip_0_1,46200,0.11744795910762647,0.07132189350245122
