stage,candidate,reference,horizon,target_scope,postprocess,origin,mse_gain,mae_gain
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1152,0.00021219676944530787,0.0012833971788727247
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1164,-7.41952472913817e-05,-0.00032352892339881207
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1176,0.0004206515684302408,0.001335302148141511
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1188,1.7921467126840816e-05,0.0001603458673673004
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1200,0.00021509954845261607,0.00016728913060243934
SELECT,OD_LONG,O_LONG,6,path_1_to_H,raw,1212,0.00042332311825952736,0.0011228355543045322
SELECT,OD_LONG,O_LONG,9,terminal_H,raw,1056,0.0004070737630801162,0.001218633559191405
SELECT,OD_LONG,O_LONG,9,terminal_H,raw,1068,-0.00017640380277896014,-0.001254189928556386
SELECT,OD_LONG,O_LONG,9,terminal_H,raw,1080,-0.00016593661094857783,0.0008127214863842308
SELECT,OD_LONG,O_LONG,9,terminal_H,raw,1092,8.641321016539449e-05,0.00091484329549831
SELECT,OD_LONG,O_LONG,9,terminal_H,raw,1104,0.00018717212188211756,0.0010392931234092548
SELECT,OD_LONG,O_LONG,9,terminal_H,raw,1116,0.00010144808937573969,0.0007521372209400483
SELECT,OD_LONG,O_LONG,9,terminal_H,raw,1128,0.0002763050089850512,0.002529342854130831
