phase,dataset,series,K,scope,mask,origin_start,model_A,model_B,endpoint,Gamma,core_size,size_lower_bound,kind,window_indices
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8250,constant,logistic,lower,8.83407930141189e-16,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8250,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8250,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8250,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8250,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8250,logistic,hist_gradient_boosting,upper,5.216313492262259e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8418,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8418,constant,logistic,upper,1.0096090630185017e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8418,constant,hist_gradient_boosting,lower,8.076872504148014e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8418,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8418,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8418,logistic,hist_gradient_boosting,upper,1.3461454173580025e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8586,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8586,constant,logistic,upper,3.533631720564756e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8586,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8586,constant,hist_gradient_boosting,upper,5.321481102993353e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8586,logistic,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,8586,logistic,hist_gradient_boosting,upper,1.8509499488672528e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,full_station,natural,6570,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,full_station,natural,6570,constant,logistic,upper,8.546418781008037e-14,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,full_station,natural,6570,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,full_station,natural,6570,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,full_station,natural,6570,logistic,hist_gradient_boosting,lower,2.1320098464450157e-13,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,72,full_station,natural,6570,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6570,constant,logistic,lower,1.0061396160665481e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6570,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Changping,24,fixed_panel,natural,6570,constant,hist_gradient_boosting,lower,3.5214886562329184e-15,0,0,NUMERIC_ZERO,
