dataset,K,scope,mask,series,origin_start,pair_prepare,pair_solve,joint,pair_total
beijing,24,origin_week,natural,Dingling,11952,1.4699995517730711e-05,3.789999755099416e-05,0.00028110000130249967,5.259999306872487e-05
beijing,24,origin_week,natural,Dingling,12120,1.440000778529793e-05,3.789999755099416e-05,0.00028819999715769793,5.230000533629209e-05
beijing,24,origin_week,natural,Dingling,12288,1.3899989426136017e-05,3.720000677276403e-05,0.00027630000840865533,5.1099996198900044e-05
beijing,24,origin_week,natural,Dingling,12456,1.3700002455152571e-05,3.739999374374747e-05,0.0002817999920807066,5.1099996198900044e-05
beijing,24,origin_week,natural,Dingling,12624,0.0003630999999586,0.004580699998768939,0.00030859999242230455,0.004943799998727539
beijing,24,origin_week,natural,Dingling,12792,1.9700004486367103e-05,4.020000051241368e-05,0.0003242999810026657,5.990000499878079e-05
beijing,24,origin_week,natural,Dingling,12960,1.5700003132224083e-05,4.810000245925039e-05,0.0002869000018108218,6.380000559147447e-05
beijing,24,origin_week,natural,Dingling,13128,1.5000012353993952e-05,3.880000440403819e-05,0.00028539999038905596,5.380001675803214e-05
beijing,24,origin_week,natural,Dingling,13296,1.4599994756281376e-05,3.6900004488416016e-05,0.000284900001133696,5.149999924469739e-05
beijing,24,origin_week,natural,Dingling,13464,0.0002624000044306,7.609999738633633e-05,0.0003186999965690789,0.00033850000181693635
beijing,24,origin_week,natural,Dingling,13632,1.589999010320753e-05,3.850000211969018e-05,0.00029400001221801023,5.439999222289771e-05
beijing,24,origin_week,natural,Dingling,13800,1.4699995517730711e-05,4.25000034738332e-05,0.00040379998972630876,5.7199998991563916e-05
beijing,24,origin_week,natural,Dingling,13968,1.6000005416572094e-05,3.929997910745442e-05,0.0002908999886130874,5.529998452402651e-05
beijing,24,origin_week,natural,Dingling,14136,0.0005779000057373,0.005591799999820006,0.00034299999242629997,0.006169700005557306
beijing,24,origin_week,natural,Dingling,14304,1.789999078027904e-05,3.949999518226832e-05,0.0003033000102731665,5.739998596254736e-05
