T,K,L,layout,missing_rate,specialized_state_kernel_seconds,generic_dfa_same_kernel_seconds,generic_rd_edge_kernel_seconds,suffix_kernel_seconds,suffix_status,generic_status,generic_bound_error,rolling_extrema_bytes,graph_array_bytes,specialized_construct_seconds,generic_construct_seconds,specialized_cold_graph_warm_kernel_seconds,generic_cold_graph_warm_kernel_seconds
32768,72,1,blocks30,0.2584228515625,0.0042697000026237,0.0039958999986993,0.0119486000039614,,NOT_RUN_K_GT_16,COMPLETE,0.0,2336,1241,9.48999950196594e-05,0.0579694000043673,0.00436459999764336,0.0619653000030666
32768,72,1,natural_power,0.003997802734375,0.0034910999966086,0.0034221000096295,0.009397199988598,,NOT_RUN_K_GT_16,COMPLETE,0.0,2336,1241,9.48999950196594e-05,0.0579694000043673,0.0035859999916282594,0.061391500013996805
2048,72,3,iid30,0.2958984375,0.000591500007431,0.0005788999987998,0.0018557000003056,,NOT_RUN_K_GT_16,COMPLETE,0.0,6656,3536,0.0002278000029036,0.1307668999943416,0.0008193000103346,0.1313457999931414
2048,72,3,blocks30,0.24951171875,0.0004991000023437,0.0004498999915085,0.0016410999960498,,NOT_RUN_K_GT_16,COMPLETE,0.0,6656,3536,0.0002278000029036,0.1307668999943416,0.0007269000052473,0.1312167999858501
2048,72,3,natural_power,0.0,0.000347099994542,0.0003607999969972,0.0015462000010302,,NOT_RUN_K_GT_16,COMPLETE,0.0,6656,3536,0.0002278000029036,0.1307668999943416,0.0005748999974456,0.1311276999913388
32768,72,3,iid30,0.302337646484375,0.0106796999898506,0.0086486000072909,0.0259972000058041,,NOT_RUN_K_GT_16,COMPLETE,0.0,6656,3536,0.0002278000029036,0.1307668999943416,0.0109074999927542,0.1394155000016325
32768,72,3,blocks30,0.25396728515625,0.0074908999959006,0.0074019000021507,0.0251603000069735,,NOT_RUN_K_GT_16,COMPLETE,0.0,6656,3536,0.0002278000029036,0.1307668999943416,0.007718699998804201,0.13816879999649231
32768,72,3,natural_power,0.003997802734375,0.0056630999897606,0.0056223999999929,0.0225034000031882,,NOT_RUN_K_GT_16,COMPLETE,0.0,6656,3536,0.0002278000029036,0.1307668999943416,0.005890899992664201,0.1363892999943345
2048,72,5,iid30,0.29736328125,0.0007779999868944,0.0007202999986475,0.0025166000123135,,NOT_RUN_K_GT_16,COMPLETE,0.0,10592,5627,0.0003561000048648,0.2003455000085523,0.0011340999917592,0.2010658000071998
2048,72,5,blocks30,0.27734375,0.000732100001187,0.0007010999979684,0.0025176999915856,,NOT_RUN_K_GT_16,COMPLETE,0.0,10592,5627,0.0003561000048648,0.2003455000085523,0.0010882000060518,0.20104660000652072
2048,72,5,natural_power,0.0,0.0004880999913439,0.0004946999979438,0.0022221000108402,,NOT_RUN_K_GT_16,COMPLETE,0.0,10592,5627,0.0003561000048648,0.2003455000085523,0.0008441999962087001,0.2008402000064961
32768,72,5,iid30,0.302215576171875,0.0118105000001378,0.0118703000043751,0.0437270999973407,,NOT_RUN_K_GT_16,COMPLETE,0.0,10592,5627,0.0003561000048648,0.2003455000085523,0.012166600005002599,0.21221580001292742
32768,72,5,blocks30,0.260284423828125,0.0114714999945135,0.0118493999907514,0.0427842999924905,,NOT_RUN_K_GT_16,COMPLETE,0.0,10592,5627,0.0003561000048648,0.2003455000085523,0.0118275999993783,0.21219489999930372
32768,72,5,natural_power,0.003997802734375,0.0080107999965548,0.007907500010333,0.0357921999966492,,NOT_RUN_K_GT_16,COMPLETE,0.0,10592,5627,0.0003561000048648,0.2003455000085523,0.008366900001419599,0.2082530000188853
