system,alpha,scope,rmse,mae,unclipped_move_rmse,unclipped_move_mae,feasible,selected
gate_permuted,0.125,macro,0.0703399493652575,0.039766710305562634,0.0703399493652575,0.039766710305562634,True,False
gate_permuted,0.25,H3,0.06237746901226732,0.033209197239847374,0.06237746901226732,0.033209197239847374,True,False
gate_permuted,0.25,H12,0.07829156578559957,0.04632056761948236,0.07829156578559957,0.04632056761948236,True,False
gate_permuted,0.25,macro,0.07033451739893344,0.03976488242966487,0.07033451739893344,0.03976488242966487,True,False
gate_permuted,0.5,H3,0.06237009871399522,0.033207191188991965,0.06237009872531868,0.03320720224763155,True,False
gate_permuted,0.5,H12,0.07827746909846084,0.046315460787747266,0.07827746910114874,0.04631546380575178,True,False
gate_permuted,0.5,macro,0.07032378390622804,0.039761325988369615,0.07032378391323371,0.039761333026691666,True,False
gate_permuted,1.0,H3,0.06235564966760236,0.03320349330487885,0.062355649847750744,0.03320353740878913,True,False
gate_permuted,1.0,H12,0.07825002816325842,0.04630600781175157,0.07825002820252173,0.0463060193444184,True,False
gate_permuted,1.0,macro,0.07030283891543039,0.03975475055831521,0.07030283902513623,0.03975477837660377,True,False
gate_permuted,2.0,H3,0.06232791868997808,0.03319741971427733,0.062327919815072096,0.03319752990872897,True,False
gate_permuted,2.0,H12,0.07819815969143716,0.04628932158218313,0.0781981599324235,0.04628935014417454,True,False
gate_permuted,2.0,macro,0.07026303919070762,0.03974337064823023,0.0702630398737478,0.039743440026451755,True,False
gate_permuted,4.0,H3,0.062277132318027305,0.03319130185948485,0.06227713776557351,0.03319154423501922,True,False
gate_permuted,4.0,H12,0.07810650354398266,0.04626405356563826,0.07810650470372041,0.04626411618627885,True,False
gate_permuted,4.0,macro,0.07019181793100499,0.039727677712561554,0.07019182123464696,0.03972783021064903,True,False
gate_permuted,8.0,H3,0.06219431289841841,0.03319834708444481,0.06219433674178975,0.033198853822144644,True,True
gate_permuted,8.0,H12,0.07797170014616854,0.046251395568245104,0.0779717052099882,0.046251526306184065,True,True
gate_permuted,8.0,macro,0.07008300652229348,0.03972487132634496,0.07008302097588898,0.039725190064164355,True,True
