dataset,series,K,L,scope,origin_start,N,phase,model_A,model_B,ambiguous_labels,geometry_status,pairwise_direction,joint_direction,higher_order_new,objective_tighter
beijing,Aotizhongxin,24,3,origin_week,15816,168,AP1,logistic,hist_gradient_boosting,168,PAIRWISE_INSUFFICIENT,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False
beijing,Aotizhongxin,24,3,origin_week,15984,168,AP1,constant,logistic,111,PAIRWISE_INSUFFICIENT,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False
beijing,Aotizhongxin,24,3,origin_week,15984,168,AP1,constant,hist_gradient_boosting,111,PAIRWISE_INSUFFICIENT,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False
beijing,Aotizhongxin,24,3,origin_week,15984,168,AP1,logistic,hist_gradient_boosting,111,PAIRWISE_INSUFFICIENT,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False
beijing,Aotizhongxin,24,3,origin_week,16152,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,16152,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,16152,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,16320,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,16320,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,16320,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,16488,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,16488,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,16488,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,16656,168,AP1,constant,logistic,23,PAIRWISE_INSUFFICIENT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,16656,168,AP1,constant,hist_gradient_boosting,23,PAIRWISE_INSUFFICIENT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,16656,168,AP1,logistic,hist_gradient_boosting,23,PAIRWISE_INSUFFICIENT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,16824,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,16824,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,16824,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,16992,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
