dataset,series,scope,mask,K,L,panel_start,model_A,model_B,windows,missing_snapshots,ambiguous_windows,independent_lower,independent_upper,joint_lower,joint_upper,reachable_states,seconds,truth_delta,truth_covered,independent_width,joint_width,width_reduction,relative_width_reduction,independent_winner,joint_winner,new_strict_decision
household,household,fixed_panel,natural,60,5,253440,constant,logistic,5701,0,0,0.05245032977079942,0.05245032977079942,0.05245032977079942,0.05245032977079942,271,0.0012717000063275918,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,60,5,253440,constant,hist_gradient_boosting,5701,0,0,0.006629252861509716,0.006629252861509716,0.006629252861509718,0.006629252861509718,271,0.0012771000037901103,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,60,5,253440,logistic,hist_gradient_boosting,5701,0,0,-0.0458210769092897,-0.0458210769092897,-0.0458210769092897,-0.0458210769092897,271,0.0013532000011764467,,,0.0,0.0,0.0,0.0,A,A,False
household,household,artificial,iid_10,60,5,194220,constant,logistic,4037,428,5,0.012835339659268013,0.013491626638798668,0.01283533965926778,0.013491626638798443,271,0.0012748000008286908,0.013491626638798668,True,0.0006562869795306552,0.0006562869795306622,-6.938893903907228e-18,-1.0572956831887158e-14,B,B,False
household,household,artificial,iid_10,60,5,194220,constant,hist_gradient_boosting,4037,428,5,0.006572739460178233,0.0074460406367091786,0.006572739460178211,0.007446040636709152,271,0.0011206000053789467,0.0067020753551899565,True,0.0008733011765309452,0.0008733011765309408,4.336808689942018e-18,4.965994328748445e-15,B,B,False
household,household,artificial,iid_10,60,5,194220,logistic,hist_gradient_boosting,4037,428,5,-0.00678955128360869,-0.00551863491757055,-0.006789551283608669,-0.005518634917570529,271,0.0011201000015717,-0.006789551283608693,True,0.0012709163660381403,0.0012709163660381403,0.0,0.0,A,A,False
household,household,artificial,iid_30,60,5,194220,constant,logistic,4037,1255,621,-0.0352048672423762,0.046305975615331604,-0.03520486724237675,0.04630597561533159,271,0.001711699995212257,0.013491626638798668,True,0.08151084285770781,0.08151084285770835,-5.412337245047638e-16,-6.6400211987696775e-15,UNRESOLVED,UNRESOLVED,False
household,household,artificial,iid_30,60,5,194220,constant,hist_gradient_boosting,4037,1255,621,-0.04449549179984763,0.03490797704191659,-0.04435476746159548,0.0347142370538755,271,0.0016069999983301386,0.005038683745444477,True,0.07940346884176422,0.07906900451547098,0.0003344643262932351,0.004212213032654252,UNRESOLVED,UNRESOLVED,False
household,household,artificial,iid_30,60,5,194220,logistic,hist_gradient_boosting,4037,1255,621,-0.04834460701967787,0.027655983888791445,-0.04834460701967788,0.02765598388879163,271,0.0013838000013493001,-0.008452942893354165,True,0.0760005909084693,0.07600059090846951,-2.0816681711721685e-16,-2.7390157711789487e-15,UNRESOLVED,UNRESOLVED,False
household,household,artificial,blocks_10,60,5,194220,constant,logistic,4037,369,1269,-0.14546107581912113,0.02110455573908146,-0.14546107581911696,0.021104555739081352,271,0.0017392000008840114,0.013491626776525798,True,0.1665656315582026,0.1665656315581983,4.274358644806853e-15,2.566170826971154e-14,UNRESOLVED,UNRESOLVED,False
