phase,dataset,series,K,L,scope,origin_start,N,comparison_id,model_A,model_B,independent_direction,pairwise_direction,joint_direction,ambiguous_windows,structure_status,witness_lower,witness_upper,information_insufficient_proved,lower_tightening,upper_tightening,needed_lower_shift_to_zero,needed_upper_shift_to_zero,reason
AP1,beijing,Tiantan,72,3,annual,8760,8689,AP1_beijing_Tiantan_K72_annual_8760_constant_logistic,constant,logistic,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,454,HIGHER_STRUCTURE,-0.0011618419514587,0.0043344037260865,True,2.2792186026400008e-05,2.019998751601193e-14,0.0011618419514588,0.0043344037260863,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Tiantan,72,3,annual,8760,8689,AP1_beijing_Tiantan_K72_annual_8760_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,454,HIGHER_STRUCTURE,0.0011651553518036,0.0044814178219477,False,0.0002237690126077,2.379523625179944e-05,0.0,0.0044814178219475,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Tiantan,72,3,annual,8760,8689,AP1_beijing_Tiantan_K72_annual_8760_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,454,HIGHER_STRUCTURE,-0.0001719533832947,0.0025419521519189,True,1.459599019900022e-06,3.988948032800175e-06,0.0001719533832947,0.0025419521519189,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Tiantan,72,3,origin_week,10440,168,AP1_beijing_Tiantan_K72_origin_week_10440_constant_logistic,constant,logistic,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,75,HIGHER_STRUCTURE,-0.0030224457082591,0.0196687892735533,True,0.0012218014567723,2.0001361678012583e-14,0.0030224457082592,0.0196687892735532,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Tiantan,72,3,origin_week,10440,168,AP1_beijing_Tiantan_K72_origin_week_10440_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,75,HIGHER_STRUCTURE,-0.0069277293947944,0.0229574565363984,True,0.0039558939119382,2.0001361678012583e-14,0.0069277293947945,0.0229574565363984,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Tiantan,72,3,origin_week,10440,168,AP1_beijing_Tiantan_K72_origin_week_10440_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,75,HIGHER_STRUCTURE,-0.0098264469579063,0.003520901764223,True,7.549080781919966e-05,0.0002063093409907,0.0098264469579063,0.0035209017642231,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Tiantan,72,3,origin_week,15312,168,AP1_beijing_Tiantan_K72_origin_week_15312_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,138,HIGHER_STRUCTURE,-0.0223442005926229,0.0112104758135569,True,1.9997892231060632e-14,0.0012306952834551,0.022344200592623,0.0112104758135568,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Tiantan,72,3,origin_week,15480,168,AP1_beijing_Tiantan_K72_origin_week_15480_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,153,HIGHER_STRUCTURE,-0.0642240385497338,0.0014756918437222,True,0.0076174926974814,2.0000060635405603e-14,0.0642240385497339,0.0014756918437221,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Wanshouxigong,24,3,annual,8760,8737,AP1_beijing_Wanshouxigong_K24_annual_8760_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,A,A,A,144,HIGHER_STRUCTURE,-0.0039745654642122,-0.0023102576541196,False,1.9899880354667943e-14,7.60059486834999e-05,0.0039745654642123,0.0,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Wanshouxigong,24,3,origin_week,10272,168,AP1_beijing_Wanshouxigong_K24_origin_week_10272_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,39,HIGHER_STRUCTURE,-0.0144230184013639,0.002570283940771,True,1.9999626954536612e-14,0.0039527617468784,0.0144230184013639,0.002570283940771,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,household,household,60,5,annual,282636,526981,AP1_household_household_K60_annual_282636_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,B,B,B,245,HIGHER_STRUCTURE,0.0008547395757965,0.0012045554974017,False,1.9999952215188355e-14,8.07101421299982e-07,0.0,0.0012045554974017,INDEPENDENT_ALREADY_DIRECTED
AP1,household,household,60,5,origin_week,302796,10080,AP1_household_household_K60_origin_week_302796_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,190,HIGHER_STRUCTURE,-0.0120427460047699,0.0061865453797539,True,1.9999626954536612e-14,4.219514918480001e-05,0.0120427460047699,0.0061865453797539,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,household,household,180,5,annual,282636,526861,AP1_household_household_K180_annual_282636_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,B,B,B,308,HIGHER_STRUCTURE,0.0121473692972085,0.0123695424553629,False,1.7845060098900523e-05,1.9000426232373968e-14,0.0,0.0123695424553639,INDEPENDENT_ALREADY_DIRECTED
AP1,household,household,180,5,origin_week,302796,10080,AP1_household_household_K180_origin_week_302796_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,A,A,A,253,HIGHER_STRUCTURE,-0.0332901604180424,-0.0223340686207994,False,0.0009327248212221,2.0001361678012583e-14,0.0332901604180424,0.0,INDEPENDENT_ALREADY_DIRECTED
