independent_undominated,independent_best,pairwise_undominated,pairwise_best,joint_undominated,joint_best,phase,dataset,series,scope,mask,origin_start,time_start,quarter,cluster,K,L,N,pairwise_set_changed,joint_set_changed,higher_order_set_changed
constant,constant,constant,constant,constant,constant,AP2,beijing,Aotizhongxin,origin_week,natural,20040,2015-06-14 00:00:00,2015Q2,beijing_2015-06-14T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,20208,2015-06-21 00:00:00,2015Q2,beijing_2015-06-21T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,20376,2015-06-28 00:00:00,2015Q2,beijing_2015-06-28T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,20544,2015-07-05 00:00:00,2015Q3,beijing_2015-07-05T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,20712,2015-07-12 00:00:00,2015Q3,beijing_2015-07-12T00:00:00,72,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,20880,2015-07-19 00:00:00,2015Q3,beijing_2015-07-19T00:00:00,72,3,168,False,False,False
constant;hist_gradient_boosting;logistic,,constant;hist_gradient_boosting;logistic,,constant;hist_gradient_boosting;logistic,,AP2,beijing,Aotizhongxin,origin_week,natural,21048,2015-07-26 00:00:00,2015Q3,beijing_2015-07-26T00:00:00,72,3,168,False,False,False
hist_gradient_boosting;logistic,,hist_gradient_boosting;logistic,,hist_gradient_boosting;logistic,,AP2,beijing,Aotizhongxin,origin_week,natural,21216,2015-08-02 00:00:00,2015Q3,beijing_2015-08-02T00:00:00,72,3,168,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP2,beijing,Aotizhongxin,origin_week,natural,21384,2015-08-09 00:00:00,2015Q3,beijing_2015-08-09T00:00:00,72,3,168,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Aotizhongxin,origin_week,natural,21552,2015-08-16 00:00:00,2015Q3,beijing_2015-08-16T00:00:00,72,3,168,False,False,False
