system,fit_id,alias_systems,horizon,target_scope,postprocess,scored_values,rmse,mae
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,12,path_1_to_H,raw,46200,0.11371951442994646,0.06743035463423691
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,12,terminal_H,clip_0_1,3850,0.11451219890044596,0.07460723206878056
GLOBAL_RIDGE_SELECTED,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,12,path_1_to_H,clip_0_1,46200,0.11371613644994716,0.0674172876573004
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,3,terminal_H,raw,3850,0.10845525789057996,0.06243326065471576
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,3,path_1_to_H,raw,11550,0.10803795284743588,0.057983363916102634
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,3,terminal_H,clip_0_1,3850,0.10845253214506238,0.06241959220893129
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,3,path_1_to_H,clip_0_1,11550,0.10803367873989166,0.057960513992293884
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,6,terminal_H,raw,3850,0.11233535199735459,0.06644636300754748
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,6,path_1_to_H,raw,23100,0.11544542596632247,0.06398396464352667
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,6,terminal_H,clip_0_1,3850,0.1123351607804161,0.06644140463838773
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,6,path_1_to_H,clip_0_1,23100,0.11544321573638909,0.06396915860327533
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,9,terminal_H,raw,3850,0.10886292410790518,0.07020737706974652
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,9,path_1_to_H,raw,34650,0.11364569890947299,0.06544300623127433
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,9,terminal_H,clip_0_1,3850,0.10886254429199578,0.07020097988345156
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,9,path_1_to_H,clip_0_1,34650,0.11364413691965407,0.06543172494333546
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,12,terminal_H,raw,3850,0.11474471527292922,0.07481106420831361
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,12,path_1_to_H,raw,46200,0.11366901300809915,0.06744244527707227
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,12,terminal_H,clip_0_1,3850,0.11473833978653034,0.07479380015985888
SCRAMBLED_MATCHED,SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SELECTED|SCRAMBLED_MATCHED,12,path_1_to_H,clip_0_1,46200,0.11366582165683878,0.06742992682078186
