fit_id,family,gamma,horizon,target_scope,postprocess,scored_values,rmse,mae
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,3,path_1_to_H,raw,11550,0.0662297454927075,0.03736997414890491
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,3,terminal_H,clip_0_1,3850,0.07189879545281985,0.04186514463725494
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,3,path_1_to_H,clip_0_1,11550,0.06621691715512942,0.03733935524893585
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,6,terminal_H,raw,3850,0.07692032813446438,0.04802479171331879
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,6,path_1_to_H,raw,23100,0.0706677882251445,0.041674490273630745
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,6,terminal_H,clip_0_1,3850,0.0769183352954696,0.04801894831409094
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,6,path_1_to_H,clip_0_1,23100,0.07066087581278883,0.04165431167958074
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,9,terminal_H,raw,3850,0.08490498021896374,0.05720073877823658
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,9,path_1_to_H,raw,34650,0.07497772915283177,0.04557681689216472
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,9,terminal_H,clip_0_1,3850,0.0849035715283659,0.05719141788700884
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,9,path_1_to_H,clip_0_1,34650,0.0749726988774442,0.045560813585993856
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,12,terminal_H,raw,3850,0.0927265571820716,0.06069510333043628
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,12,path_1_to_H,raw,46200,0.07916135765144983,0.04919046979304634
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,12,terminal_H,clip_0_1,3850,0.09271920630355518,0.06067643807826328
SCRAMBLED_SMOOTH_D_g1,SCRAMBLED_SMOOTH_D,1.0,12,path_1_to_H,clip_0_1,46200,0.07915603712097717,0.04917549392066785
D_NORM_g0.01,D_NORM,0.01,3,terminal_H,raw,3850,0.07161099000169546,0.04153742290944741
D_NORM_g0.01,D_NORM,0.01,3,path_1_to_H,raw,11550,0.06545675976855486,0.036772580857630445
D_NORM_g0.01,D_NORM,0.01,3,terminal_H,clip_0_1,3850,0.07160834648385363,0.041521375156395125
D_NORM_g0.01,D_NORM,0.01,3,path_1_to_H,clip_0_1,11550,0.06543382280573072,0.036735887708956125
D_NORM_g0.01,D_NORM,0.01,6,terminal_H,raw,3850,0.0764848213712699,0.04766450336976172
D_NORM_g0.01,D_NORM,0.01,6,path_1_to_H,raw,23100,0.07009706826962125,0.04120864046093769
D_NORM_g0.01,D_NORM,0.01,6,terminal_H,clip_0_1,3850,0.07648250990308719,0.04765816738556482
D_NORM_g0.01,D_NORM,0.01,6,path_1_to_H,clip_0_1,23100,0.07008561895856358,0.041185577676101426
D_NORM_g0.01,D_NORM,0.01,9,terminal_H,raw,3850,0.08467389735494801,0.05698298967684312
D_NORM_g0.01,D_NORM,0.01,9,path_1_to_H,raw,34650,0.07443409989790448,0.04512350946564394
D_NORM_g0.01,D_NORM,0.01,9,terminal_H,clip_0_1,3850,0.08467272600423117,0.05697482829639848
D_NORM_g0.01,D_NORM,0.01,9,path_1_to_H,clip_0_1,34650,0.07442636869914782,0.04510617029422791
D_NORM_g0.01,D_NORM,0.01,12,terminal_H,raw,3850,0.0929789809500248,0.060683539300074155
D_NORM_g0.01,D_NORM,0.01,12,path_1_to_H,raw,46200,0.07881200540658602,0.04883511792876746
D_NORM_g0.01,D_NORM,0.01,12,terminal_H,clip_0_1,3850,0.09297268765847241,0.06066669382288539
D_NORM_g0.01,D_NORM,0.01,12,path_1_to_H,clip_0_1,46200,0.07880500593420714,0.048819557876478174
D_NORM_g0.1,D_NORM,0.1,3,terminal_H,raw,3850,0.07192293593682068,0.04178495128181915
D_NORM_g0.1,D_NORM,0.1,3,path_1_to_H,raw,11550,0.06608811143750877,0.037202708486941724
D_NORM_g0.1,D_NORM,0.1,3,terminal_H,clip_0_1,3850,0.07191817503612473,0.041768417585120406
D_NORM_g0.1,D_NORM,0.1,3,path_1_to_H,clip_0_1,11550,0.06607680706142449,0.037171768802040886
D_NORM_g0.1,D_NORM,0.1,6,terminal_H,raw,3850,0.0769204309217149,0.0478813536429148
D_NORM_g0.1,D_NORM,0.1,6,path_1_to_H,raw,23100,0.07064854048663947,0.04157562854425041
D_NORM_g0.1,D_NORM,0.1,6,terminal_H,clip_0_1,3850,0.07691863419285468,0.04787634489948566
D_NORM_g0.1,D_NORM,0.1,6,path_1_to_H,clip_0_1,23100,0.07064265486088862,0.04155611845250257
D_NORM_g0.1,D_NORM,0.1,9,terminal_H,raw,3850,0.0847450767963935,0.057104498119219985
D_NORM_g0.1,D_NORM,0.1,9,path_1_to_H,raw,34650,0.07489908882668775,0.04546171498388692
D_NORM_g0.1,D_NORM,0.1,9,terminal_H,clip_0_1,3850,0.08474386067054214,0.05709626375502643
D_NORM_g0.1,D_NORM,0.1,9,path_1_to_H,clip_0_1,34650,0.07489497650233223,0.04544659194128031
D_NORM_g0.1,D_NORM,0.1,12,terminal_H,raw,3850,0.09280169739853561,0.060671024864852686
D_NORM_g0.1,D_NORM,0.1,12,path_1_to_H,raw,46200,0.07911571011004664,0.04910164015366387
D_NORM_g0.1,D_NORM,0.1,12,terminal_H,clip_0_1,3850,0.09279377129480465,0.06065206820381254
D_NORM_g0.1,D_NORM,0.1,12,path_1_to_H,clip_0_1,46200,0.07911099703093265,0.04908737204969675
D_NORM_g1,D_NORM,1.0,3,terminal_H,raw,3850,0.07239995101792074,0.0421364753198526
D_NORM_g1,D_NORM,1.0,3,path_1_to_H,raw,11550,0.06685479528278458,0.03774594647443495
D_NORM_g1,D_NORM,1.0,3,terminal_H,clip_0_1,3850,0.07238729414804926,0.04211663490754484
D_NORM_g1,D_NORM,1.0,3,path_1_to_H,clip_0_1,11550,0.06684403873001062,0.03771504456817127
D_NORM_g1,D_NORM,1.0,6,terminal_H,raw,3850,0.0774761041113199,0.048227916226158546
D_NORM_g1,D_NORM,1.0,6,path_1_to_H,raw,23100,0.07133973530364066,0.0420521755144349
D_NORM_g1,D_NORM,1.0,6,terminal_H,clip_0_1,3850,0.07747487382747535,0.048223285254523206
D_NORM_g1,D_NORM,1.0,6,path_1_to_H,clip_0_1,23100,0.0713341746034812,0.04203289065096275
D_NORM_g1,D_NORM,1.0,9,terminal_H,raw,3850,0.08517938552037904,0.05746122228697537
D_NORM_g1,D_NORM,1.0,9,path_1_to_H,raw,34650,0.07555117594610136,0.04591592814196887
D_NORM_g1,D_NORM,1.0,9,terminal_H,clip_0_1,3850,0.0851751275995899,0.05745104726760701
D_NORM_g1,D_NORM,1.0,9,path_1_to_H,clip_0_1,34650,0.0755470064732777,0.04590048324995163
D_NORM_g1,D_NORM,1.0,12,terminal_H,raw,3850,0.09289612596507808,0.060897959936206426
D_NORM_g1,D_NORM,1.0,12,path_1_to_H,raw,46200,0.07962147955161811,0.049504255978873535
D_NORM_g1,D_NORM,1.0,12,terminal_H,clip_0_1,3850,0.09288567574081219,0.06087556911128851
D_NORM_g1,D_NORM,1.0,12,path_1_to_H,clip_0_1,46200,0.0796161312135207,0.049488989865505435
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,3,terminal_H,raw,3850,0.07184669179410547,0.04153966444501182
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,3,path_1_to_H,raw,11550,0.06564993207797351,0.0366841535742466
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,3,terminal_H,clip_0_1,3850,0.07184463412596548,0.041524168723605134
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,3,path_1_to_H,clip_0_1,11550,0.06562390852227042,0.0366462135995482
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,6,terminal_H,raw,3850,0.07656862416011699,0.04759745158695507
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,6,path_1_to_H,raw,23100,0.07026487040021265,0.04114166989233612
GLOBAL_RIDGE_g0.01,GLOBAL_RIDGE,0.01,6,terminal_H,clip_0_1,3850,0.07656606451116821,0.04759073732822786
