candidate,reference,horizon,target_scope,postprocess,origin,mae_gain,mse_gain
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1392,-1.3456016046726235e-05,-1.7009778865102204e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1404,-3.0932396770762304e-05,-7.892240049047373e-06
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1416,-9.843998466609623e-05,1.8741963155835433e-07
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1428,-8.028299536612828e-05,-4.72599676575993e-06
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1440,-7.984094244901628e-05,-9.782414193218727e-06
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1452,9.120867242765197e-06,-6.071597795251757e-06
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1464,-4.869442126050492e-05,-2.8503961690705983e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1476,-0.00011522638135210662,-1.9265145421001578e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1488,2.5972301229384635e-05,5.818790142645428e-06
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1500,-9.162009707405032e-05,-2.239677081833093e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1512,-7.536147862083029e-05,-7.031169796594978e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1524,0.00011918859369003821,7.77302053384325e-05
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1536,1.2672709385210197e-05,9.861744740542594e-06
TIME_SELECTED,BASE_OD,6,path_1_to_H,clip_0_1,1548,-0.00011158703582525871,-6.0726584637274486e-05
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1392,-0.00031116694047709327,-4.4911067422028996e-05
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1404,-1.447898720724878e-05,-5.385938830285039e-07
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1416,-2.0950620019361056e-05,-7.46308745059854e-07
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1428,8.708963729123193e-05,7.4683346203006805e-06
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1440,-0.00011765122759022933,-2.049448733302596e-06
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1452,1.7728895667035873e-05,9.514182863977246e-07
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1464,-0.00016151268758069523,-0.00012026479869989437
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1476,0.00011395628817673057,5.2081600814064405e-05
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1488,6.262548860997558e-07,1.3392543822821807e-05
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1500,-5.599515592720672e-05,-1.7670230717764482e-05
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1512,2.63995553599295e-05,-8.164274345650196e-06
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1524,0.00016826380768611093,3.292597571018967e-05
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1536,5.46948857295487e-05,7.67415762762568e-06
TIME_SELECTED,BASE_OD,9,terminal_H,raw,1548,3.9122807407664255e-05,3.3210413232424294e-05
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1392,-0.00031116694047709327,-4.4911067422028996e-05
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1404,-1.447898720724878e-05,-5.385938830285039e-07
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1416,-2.0950620019361056e-05,-7.46308745059854e-07
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1428,8.459162733519081e-05,7.426866119778438e-06
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1440,-0.00011765122759022933,-2.049448733302596e-06
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1452,1.8022961039635392e-05,9.599906925631243e-07
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1464,-0.00016151268758069523,-0.00012026479869989437
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1476,0.00011395628817673057,5.2081600814064405e-05
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1488,6.262548860997558e-07,1.3392543822821807e-05
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1500,-5.599515592720672e-05,-1.7670230717764482e-05
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1512,2.63995553599295e-05,-8.164274345650196e-06
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1524,0.00016826380768611093,3.292597571018967e-05
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1536,5.46948857295487e-05,7.67415762762568e-06
TIME_SELECTED,BASE_OD,9,terminal_H,clip_0_1,1548,3.9122807407664255e-05,3.3210413232424294e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1392,-3.839731640310714e-05,-2.2266428117386692e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1404,-1.4693592093512457e-06,-2.7740833495209163e-06
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1416,-6.86219378706082e-05,-5.42243477410036e-07
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1428,-5.134169851768514e-05,-7.192520413891678e-06
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1440,4.850947150164463e-06,-1.3777656464737428e-06
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1452,2.0336966621130428e-05,-5.798588786734223e-06
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1464,-4.4047298627703695e-05,-3.1090418427310746e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1476,-6.733552145513782e-05,-1.0112160381107282e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1488,3.219332262035531e-05,5.594671273892091e-06
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1500,-4.967003453855214e-05,-1.810008923070481e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1512,-7.386438644830384e-05,-6.147766102286823e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1524,6.265291462169141e-05,4.456557806089877e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1536,4.2660588348534595e-06,2.5304089920747193e-06
TIME_SELECTED,BASE_OD,9,path_1_to_H,raw,1548,-6.886402472904312e-05,-4.108902435838067e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1392,-3.820338850819046e-05,-2.232956028415212e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1404,-1.576071971904661e-06,-2.7745990843508387e-06
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1416,-6.971960087857442e-05,-5.485896988749567e-07
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1428,-5.136762043178606e-05,-7.195726519490405e-06
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1440,3.5081951654371968e-06,-1.3836883800785769e-06
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1452,2.0101274109392176e-05,-5.798750608605806e-06
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1464,-4.469626813073745e-05,-3.112289066451798e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1476,-6.906844377346646e-05,-1.0130965313530182e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1488,3.219332262035531e-05,5.594671273892091e-06
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1500,-5.505177858005329e-05,-1.8784037019732998e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1512,-7.397232457921598e-05,-6.147757910643293e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1524,5.869390567309402e-05,4.4509262040701465e-05
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1536,4.2660588348534595e-06,2.5304089920747193e-06
TIME_SELECTED,BASE_OD,9,path_1_to_H,clip_0_1,1548,-6.886402472904312e-05,-4.108902435838067e-05
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1392,-0.00017673718512598187,-3.725657302173722e-05
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1404,4.5324516944847756e-05,1.4993388926471936e-05
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1416,-0.0001941153181261171,-5.5666194256134424e-05
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1428,-0.00013464044829614519,-4.0770003469928745e-06
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1440,1.1374738532193505e-05,1.7991268352419873e-05
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1452,-4.5292727594181986e-05,-2.9687221057827843e-06
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1464,0.0002593695496275942,0.00010780359592911478
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1476,0.00016922890917872482,6.575637567097288e-05
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1488,-9.025345976737416e-06,-1.0605270561513483e-05
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1500,-0.00014050327447380593,-1.741248609258739e-05
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1512,1.6210247422564695e-05,8.860628471941184e-06
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1524,-0.00013329310154094862,-7.344002449215897e-05
TIME_SELECTED,BASE_OD,12,terminal_H,raw,1536,-5.490586163495744e-05,-2.8338442731708894e-05
