epoch,cohort,model,seed,information_track,horizon,status,target_scope,postprocess,scored_values,rmse,mae
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06997297823626436,0.04111893887692638
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.08468624593246253,0.056971649421793065
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08468509333991603,0.05696355243365054
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.07434497497347202,0.04506060979594297
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07433592718062032,0.04504229630533493
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.09306321667618835,0.06072716654989335
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09305738102667864,0.06071073253632499
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.07876578519461823,0.048791925921694526
0,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07875791627267534,0.0487757014041068
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.07213561529507906,0.04193247619544328
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07211617871633526,0.04187497427899695
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.0657727481732108,0.03705819184380356
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06573413031137253,0.036987160911026114
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.07671438068384695,0.04805800667073181
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.0767100494784658,0.04803577029666699
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.07037492308462386,0.04152601837062536
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.07035497326722001,0.041479271330024874
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.08465711295359704,0.05666507721129399
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08465563664780265,0.056653798391449295
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.07465077064141364,0.04531039749229343
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07463725646386017,0.045274042642869834
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.0932889126967805,0.0607885703704251
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.0932828838038796,0.06077221550282624
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.07906951276006222,0.049030908906929085
5,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07905783205124578,0.0490004045706863
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.07228944684819952,0.04223203070179797
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07228078104333152,0.042200297760109175
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.0659122558870975,0.037388633344469846
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.0658846580967621,0.03733765325981715
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.07743261754192893,0.04906287926176205
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07742927478888252,0.04904337203264752
10,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.07081030839830288,0.04212247244443869
