model,seed,epoch,lr,training_mse,optimizer_steps,selection_rmse,log_scope
P_FWD_X,20260917,0,0.0,1.0902779505680837,0,0.0814268562489681,epoch0 fixed parameters
P_FWD_X,20260917,1,0.001,1.0663381627239454,37,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,2,0.0009985407886603944,1.0296767034120302,74,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,3,0.0009941726181870608,1.0154008650184976,111,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,4,0.0009869238178417234,1.0048944892480947,148,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,5,0.0009768413988762155,0.9957750409096106,185,0.0831493312080544,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,6,0.000963990749646471,0.9881047040977491,222,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,7,0.0009484552115439444,0.9812667835579033,259,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,8,0.0009303355384947077,0.9761173939277793,296,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,9,0.0009097492435315756,0.9710870413151136,333,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,10,0.0008868298366769955,0.9667322795091313,370,0.08294197474903678,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,11,0.0008617259590793198,0.962688715407622,407,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,12,0.0008346004190179199,0.9590679913646468,444,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,13,0.0008056291360290202,0.9573260139141693,481,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,14,0.0007750000000000001,0.9530798710603999,518,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,15,0.0007429116526313744,0.950258933970143,555,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,16,0.0007095721991691411,0.9478538876084373,592,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,17,0.0006751978587624037,0.9454894046070547,629,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,18,0.00064001156219922,0.9433329739998517,666,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,19,0.0006042415061148954,0.9422120702723732,703,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,20,0.0005681196730492369,0.9401338990792825,740,0.08277637370674523,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,21,0.0005318803269507632,0.9381773924859509,777,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,22,0.0004957584938851046,0.9372967455659742,814,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,23,0.00045998843780078015,0.9359853124678404,851,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,24,0.0004248021412375964,0.934718191445263,888,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,25,0.00039042780083085903,0.933482338497632,925,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,26,0.00035708834736862554,0.932478006062906,962,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,27,0.0003249999999999999,0.931746993991332,999,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,28,0.00029437086397097995,0.93088641870886,1036,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,29,0.0002653995809820803,0.9300873738642057,1073,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,30,0.00023827404092068027,0.9294713582654066,1110,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,31,0.0002131701633230046,0.9288987038236516,1147,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,32,0.00019025075646842457,0.9283937786468884,1184,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260917,33,0.00016966446150529243,0.9279051777152146,1221,,during-traversal weighted batch means; not frozen FIT objective
