dataset,series,K,L,scope,origin_start,N,phase,model_A,model_B,ambiguous_labels,geometry_status,independent_lower,implication_lower,DP_lower,cover_LP_lower,cover_LP_lower_rounds,cover_LP_lower_max_violation,cover_LP_lower_primal_dual_gap_per_N,cover_LP_lower_fractionality,cover_ILP_lower,cover_ILP_lower_rounds,cover_ILP_lower_max_violation,cover_ILP_lower_primal_dual_gap_per_N,cover_ILP_lower_fractionality,independent_upper,implication_upper,DP_upper,cover_LP_upper,cover_LP_upper_rounds,cover_LP_upper_max_violation,cover_LP_upper_primal_dual_gap_per_N,cover_LP_upper_fractionality,cover_ILP_upper,cover_ILP_upper_rounds,cover_ILP_upper_max_violation,cover_ILP_upper_primal_dual_gap_per_N,cover_ILP_upper_fractionality,independent_direction,implication_direction,cover_LP_direction,cover_ILP_direction,DP_direction,cover_LP_width_gap,cover_LP_endpoint_gap,implication_width_gap,cover_ILP_DP_max_error
beijing,Aotizhongxin,24,3,origin_week,10272,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,-0.016091185072839097,-0.016091185072859,-0.016091185072839097,-0.016091185072839097,,,,,-0.016091185072839097,,,,,-0.016091185072839097,-0.016091185072819,-0.016091185072839097,-0.016091185072839097,,,,,-0.016091185072839097,,,,,A,A,A,A,A,0.0,0.0,3.999925390907322e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10440,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.07324888774370306,0.073248887743683,0.07324888774370306,0.07324888774370306,,,,,0.07324888774370306,,,,,0.07324888774370306,0.073248887743723,0.07324888774370306,0.07324888774370306,,,,,0.07324888774370306,,,,,B,B,B,B,B,0.0,0.0,3.9995784462121264e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10440,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.027493969162303823,0.0274939691622838,0.027493969162303823,0.027493969162303823,,,,,0.027493969162303823,,,,,0.027493969162303823,0.0274939691623238,0.027493969162303823,0.027493969162303823,,,,,0.027493969162303823,,,,,B,B,B,B,B,0.0,0.0,3.999925390907322e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10440,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,-0.045754918581399226,-0.0457549185814192,-0.045754918581399226,-0.045754918581399226,,,,,-0.045754918581399226,,,,,-0.045754918581399226,-0.0457549185813792,-0.045754918581399226,-0.045754918581399226,,,,,-0.045754918581399226,,,,,A,A,A,A,A,0.0,0.0,4.000272335602517e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10608,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.04726431608014522,0.0472643160801252,0.04726431608014522,0.04726431608014522,,,,,0.04726431608014522,,,,,0.04726431608014522,0.0472643160801652,0.04726431608014522,0.04726431608014522,,,,,0.04726431608014522,,,,,B,B,B,B,B,0.0,0.0,4.000272335602517e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10608,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.05188109950959391,0.0518810995095739,0.05188109950959391,0.05188109950959391,,,,,0.05188109950959391,,,,,0.05188109950959391,0.0518810995096139,0.05188109950959391,0.05188109950959391,,,,,0.05188109950959391,,,,,B,B,B,B,B,0.0,0.0,4.000272335602517e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10608,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,0.004616783429448695,0.0046167834294286,0.004616783429448695,0.004616783429448695,,,,,0.004616783429448695,,,,,0.004616783429448695,0.0046167834294686,0.004616783429448695,0.004616783429448695,,,,,0.004616783429448695,,,,,B,B,B,B,B,0.0,0.0,4.0000121270811206e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10776,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.02428548091282054,0.0242854809128005,0.02428548091282054,0.02428548091282054,,,,,0.02428548091282054,,,,,0.02428548091282054,0.0242854809128405,0.02428548091282054,0.02428548091282054,,,,,0.02428548091282054,,,,,B,B,B,B,B,0.0,0.0,3.999925390907322e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10776,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.06046973046413145,0.0604697304641114,0.06046973046413145,0.06046973046413145,,,,,0.06046973046413145,,,,,0.06046973046413145,0.0604697304641514,0.06046973046413145,0.06046973046413145,,,,,0.06046973046413145,,,,,B,B,B,B,B,0.0,0.0,3.9995784462121264e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,10776,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,0.03618424955131091,0.0361842495512909,0.03618424955131091,0.03618424955131091,,,,,0.03618424955131091,,,,,0.03618424955131091,0.0361842495513309,0.03618424955131091,0.03618424955131091,,,,,0.03618424955131091,,,,,B,B,B,B,B,0.0,0.0,4.000272335602517e-14,0.0
